article,question,question_chars,question_words
╨Ü╨░╨║ ╨┐╨╛╨║╤â╨┐╨░╤é╤î ╨╕ ╨┐╤Ç╨╛╨┤╨░╨▓╨░╤é╤î ╤å╨╡╨╜╨╜╤ï╨╡ ╨▒╤â╨╝╨░╨│╨╕ ╨╕ ╨▓╨░╨╗╤Ä╤é╤â,**Как продать ценные бумаги или валюту на брокерском счете?**,61,9
╨Ü╨░╨║ ╨┐╨╛╨║╤â╨┐╨░╤é╤î ╨╕ ╨┐╤Ç╨╛╨┤╨░╨▓╨░╤é╤î ╤å╨╡╨╜╨╜╤ï╨╡ ╨▒╤â╨╝╨░╨│╨╕ ╨╕ ╨▓╨░╨╗╤Ä╤é╤â,**Что такое лимитная заявка и как ее использовать при продаже ценных бумаг?**,77,12
╨Æ╤ï╤ü╨╛╨║╨╛╨┤╨╛╤à╨╛╨┤╨╜╤ï╨╡ ╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╨╕ ╤ü ╨╜╨╕╨╖╨║╨╕╨╝ ╤Ç╨╡╨╕╠å╤é╨╕╨╜╨│╨╛╨╝ (╨Æ╨ö╨₧),**Что такое высокодоходные облигации (ВДО)?**,45,5
╨Æ╤ï╤ü╨╛╨║╨╛╨┤╨╛╤à╨╛╨┤╨╜╤ï╨╡ ╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╨╕ ╤ü ╨╜╨╕╨╖╨║╨╕╨╝ ╤Ç╨╡╨╕╠å╤é╨╕╨╜╨│╨╛╨╝ (╨Æ╨ö╨₧),**Почему высокодоходные облигации имеют повышенный риск?**,58,6
╨Æ╤ï╤ü╨╛╨║╨╛╨┤╨╛╤à╨╛╨┤╨╜╤ï╨╡ ╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╨╕ ╤ü ╨╜╨╕╨╖╨║╨╕╨╝ ╤Ç╨╡╨╕╠å╤é╨╕╨╜╨│╨╛╨╝ (╨Æ╨ö╨₧),**Какие риски связаны с инвестированием в высокодоходные облигации?**,69,8
╨Æ╤ï╤ü╨╛╨║╨╛╨┤╨╛╤à╨╛╨┤╨╜╤ï╨╡ ╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╨╕ ╤ü ╨╜╨╕╨╖╨║╨╕╨╝ ╤Ç╨╡╨╕╠å╤é╨╕╨╜╨│╨╛╨╝ (╨Æ╨ö╨₧),"**Как определить, есть ли у облигации кредитный рейтинг?**",58,8
╨Æ╤ï╤ü╨╛╨║╨╛╨┤╨╛╤à╨╛╨┤╨╜╤ï╨╡ ╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╨╕ ╤ü ╨╜╨╕╨╖╨║╨╕╨╝ ╤Ç╨╡╨╕╠å╤é╨╕╨╜╨│╨╛╨╝ (╨Æ╨ö╨₧),**Как можно снизить риски при инвестировании в высокодоходные облигации?**,74,9
╨Ü╨░╨║ ╨▓╨╗╨╛╨╢╨╕╤é╤î ╨┤╨╡╨╜╤î╨│╨╕ ╨▓ ╤ä╨╛╨╜╨┤╤ï ╨óΓüá-Γüá╨Ü╨░╨┐╨╕╤é╨░╨╗╨░,**Какая минимальная сумма для инвестирования в фонды Т⁠-⁠Капитала?**,68,8
╨Ü╨░╨║ ╨▓╨╗╨╛╨╢╨╕╤é╤î ╨┤╨╡╨╜╤î╨│╨╕ ╨▓ ╤ä╨╛╨╜╨┤╤ï ╨óΓüá-Γüá╨Ü╨░╨┐╨╕╤é╨░╨╗╨░,**Какие комиссии взимаются при покупке и продаже паев фондов Т⁠-⁠Капитала?**,76,10
╨Ü╨░╨║ ╨▓╨╗╨╛╨╢╨╕╤é╤î ╨┤╨╡╨╜╤î╨│╨╕ ╨▓ ╤ä╨╛╨╜╨┤╤ï ╨óΓüá-Γüá╨Ü╨░╨┐╨╕╤é╨░╨╗╨░,**Как можно проверить состав активов фонда в реальном времени?**,64,9
╨Ü╨░╨║ ╨▓╨╗╨╛╨╢╨╕╤é╤î ╨┤╨╡╨╜╤î╨│╨╕ ╨▓ ╤ä╨╛╨╜╨┤╤ï ╨óΓüá-Γüá╨Ü╨░╨┐╨╕╤é╨░╨╗╨░,**Как подтвердить владение паями фондов Т⁠-⁠Капитала?**,55,6
╨Ü╨░╨║ ╨▓╨╗╨╛╨╢╨╕╤é╤î ╨┤╨╡╨╜╤î╨│╨╕ ╨▓ ╤ä╨╛╨╜╨┤╤ï ╨óΓüá-Γüá╨Ü╨░╨┐╨╕╤é╨░╨╗╨░,**Какие налоги взимаются с дохода от паев фондов Т⁠-⁠Капитала?**,64,9
╨Æ╨░╨╗╤Ä╤é╨╜╨╛╨╡ ╨╖╨░╨║╨╛╨╜╨╛╨┤╨░╤é╨╡╨╗╤î╤ü╤é╨▓╨╛,**Что такое валютное законодательство и как оно влияет на частных лиц и бизнес?**,81,13
╨Æ╨░╨╗╤Ä╤é╨╜╨╛╨╡ ╨╖╨░╨║╨╛╨╜╨╛╨┤╨░╤é╨╡╨╗╤î╤ü╤é╨▓╨╛,**Какие требования предъявляются к иностранным счетам физических лиц и как их соблюдать?**,90,12
╨Æ╨░╨╗╤Ä╤é╨╜╨╛╨╡ ╨╖╨░╨║╨╛╨╜╨╛╨┤╨░╤é╨╡╨╗╤î╤ü╤é╨▓╨╛,**Как отчитаться о движении денежных средств и финансовых активов по иностранному счету?**,90,12
╨Æ╨░╨╗╤Ä╤é╨╜╨╛╨╡ ╨╖╨░╨║╨╛╨╜╨╛╨┤╨░╤é╨╡╨╗╤î╤ü╤é╨▓╨╛,"**Какие последствия могут быть, если не отчитаться об иностранных счетах?**",75,10
╨Æ╨╜╨╡╨▒╨╕╤Ç╨╢╨╡╨▓╤ï╨╡ ╤é╨╛╤Ç╨│╨╕ ╤Ç╨╛╤ü╤ü╨╕╨╕╠å╤ü╨║╨╕╨╝╨╕ ╨░╨║╤å╨╕╤Å╨╝╨╕ ╨▒╨╡╨╖ ╨╗╨╕╤ü╤é╨╕╨╜╨│╨░ ╨╜╨░ ╨£╨╛╤ü╨║╨╛╨▓╤ü╨║╨╛╨╕╠å ╨▒╨╕╤Ç╨╢╨╡,**Что значит торговля акциями без листинга?**,45,6
╨Æ╨╜╨╡╨▒╨╕╤Ç╨╢╨╡╨▓╤ï╨╡ ╤é╨╛╤Ç╨│╨╕ ╤Ç╨╛╤ü╤ü╨╕╨╕╠å╤ü╨║╨╕╨╝╨╕ ╨░╨║╤å╨╕╤Å╨╝╨╕ ╨▒╨╡╨╖ ╨╗╨╕╤ü╤é╨╕╨╜╨│╨░ ╨╜╨░ ╨£╨╛╤ü╨║╨╛╨▓╤ü╨║╨╛╨╕╠å ╨▒╨╕╤Ç╨╢╨╡,**Какими российскими акциями без листинга можно торговать в Т‑Банке?**,70,9
╨Æ╨╜╨╡╨▒╨╕╤Ç╨╢╨╡╨▓╤ï╨╡ ╤é╨╛╤Ç╨│╨╕ ╤Ç╨╛╤ü╤ü╨╕╨╕╠å╤ü╨║╨╕╨╝╨╕ ╨░╨║╤å╨╕╤Å╨╝╨╕ ╨▒╨╡╨╖ ╨╗╨╕╤ü╤é╨╕╨╜╨│╨░ ╨╜╨░ ╨£╨╛╤ü╨║╨╛╨▓╤ü╨║╨╛╨╕╠å ╨▒╨╕╤Ç╨╢╨╡,**Как проходят сделки с акциями без листинга?**,47,7
╨Æ╨╜╨╡╨▒╨╕╤Ç╨╢╨╡╨▓╤ï╨╡ ╤é╨╛╤Ç╨│╨╕ ╤Ç╨╛╤ü╤ü╨╕╨╕╠å╤ü╨║╨╕╨╝╨╕ ╨░╨║╤å╨╕╤Å╨╝╨╕ ╨▒╨╡╨╖ ╨╗╨╕╤ü╤é╨╕╨╜╨│╨░ ╨╜╨░ ╨£╨╛╤ü╨║╨╛╨▓╤ü╨║╨╛╨╕╠å ╨▒╨╕╤Ç╨╢╨╡,**Как купить и продать внебиржевые акции без листинга?**,56,8
╨Æ╨╜╨╡╨▒╨╕╤Ç╨╢╨╡╨▓╤ï╨╡ ╤é╨╛╤Ç╨│╨╕ ╤Ç╨╛╤ü╤ü╨╕╨╕╠å╤ü╨║╨╕╨╝╨╕ ╨░╨║╤å╨╕╤Å╨╝╨╕ ╨▒╨╡╨╖ ╨╗╨╕╤ü╤é╨╕╨╜╨│╨░ ╨╜╨░ ╨£╨╛╤ü╨║╨╛╨▓╤ü╨║╨╛╨╕╠å ╨▒╨╕╤Ç╨╢╨╡,**Какая комиссия за сделки с российскими внебиржевыми бумагами?**,65,8
╨á╨╡╨╢╨╕╨╝╤ï ╤é╨╛╤Ç╨│╨╛╨▓,**Что такое режим торгов Т+1 и как он влияет на инвестора?**,60,11
╨á╨╡╨╢╨╕╨╝╤ï ╤é╨╛╤Ç╨│╨╛╨▓,**Что такое дискретный аукцион и когда он проводится?**,55,8
╨á╨╡╨╢╨╕╨╝╤ï ╤é╨╛╤Ç╨│╨╛╨▓,**Что такое премаркет и постмаркет и как они влияют на торговлю?**,66,11
╨á╨╡╨╢╨╕╨╝╤ï ╤é╨╛╤Ç╨│╨╛╨▓,**Что такое аукционы открытия и закрытия и зачем они нужны?**,61,10
╨á╨╡╨╢╨╕╨╝╤ï ╤é╨╛╤Ç╨│╨╛╨▓,**Как частному инвестору учитывать режимы торгов при покупке акций для получения дивидендов?**,94,12
╨Ü╨░╨║ ╤â╤ü╤é╤Ç╨╛╨╡╨╜╨░ ╨▒╨╕╤Ç╨╢╨░ ╨╛╨┐╤å╨╕╨╛╨╜╨╛╨▓,**Что такое опционы и чем они отличаются от фьючерсов?**,56,9
╨Ü╨░╨║ ╤â╤ü╤é╤Ç╨╛╨╡╨╜╨░ ╨▒╨╕╤Ç╨╢╨░ ╨╛╨┐╤å╨╕╨╛╨╜╨╛╨▓,**Что такое опционы колл и пут?**,33,6
╨Ü╨░╨║ ╤â╤ü╤é╤Ç╨╛╨╡╨╜╨░ ╨▒╨╕╤Ç╨╢╨░ ╨╛╨┐╤å╨╕╨╛╨╜╨╛╨▓,**Чем отличаются европейские и американские опционы?**,54,6
╨Ü╨░╨║ ╤â╤ü╤é╤Ç╨╛╨╡╨╜╨░ ╨▒╨╕╤Ç╨╢╨░ ╨╛╨┐╤å╨╕╨╛╨╜╨╛╨▓,**Какие виды опционов бывают по способу исполнения контракта?**,63,8
╨Ü╨░╨║ ╤â╤ü╤é╤Ç╨╛╨╡╨╜╨░ ╨▒╨╕╤Ç╨╢╨░ ╨╛╨┐╤å╨╕╨╛╨╜╨╛╨▓,**Как определить цену опциона?**,32,4
╨ÿ╨╜╨╛╤ü╤é╤Ç╨░╨╜╨╜╤ï╨╡ ╨░╨║╤å╨╕╨╕,Какие основные риски при инвестировании в иностранные акции?,60,8
╨ÿ╨╜╨╛╤ü╤é╤Ç╨░╨╜╨╜╤ï╨╡ ╨░╨║╤å╨╕╨╕,Как рассчитывается налог на доход от продажи иностранных акций?,63,9
╨ÿ╨╜╨╛╤ü╤é╤Ç╨░╨╜╨╜╤ï╨╡ ╨░╨║╤å╨╕╨╕,Как налоговая служба России учитывает доход от дивидендов по иностранным акциям?,80,11
╨Ü╨░╨║ ╨▓╤ï╤ü╤é╨░╨▓╨╗╤Å╤é╤î ╨▒╨╕╤Ç╨╢╨╡╨▓╤ï╨╡ ╨╖╨░╤Å╨▓╨║╨╕,**Что такое лимитная заявка и как она работает?**,49,8
╨Ü╨░╨║ ╨▓╤ï╤ü╤é╨░╨▓╨╗╤Å╤é╤î ╨▒╨╕╤Ç╨╢╨╡╨▓╤ï╨╡ ╨╖╨░╤Å╨▓╨║╨╕,**Как выставить лимитную заявку в приложении Т⁠-⁠Инвестиций?**,62,7
╨Ü╨░╨║ ╨▓╤ï╤ü╤é╨░╨▓╨╗╤Å╤é╤î ╨▒╨╕╤Ç╨╢╨╡╨▓╤ï╨╡ ╨╖╨░╤Å╨▓╨║╨╕,**Что такое рыночная заявка и как она работает?**,49,8
╨Ü╨░╨║ ╨▓╤ï╤ü╤é╨░╨▓╨╗╤Å╤é╤î ╨▒╨╕╤Ç╨╢╨╡╨▓╤ï╨╡ ╨╖╨░╤Å╨▓╨║╨╕,**Как выставить рыночную заявку в приложении Т⁠-⁠Инвестиций?**,62,7
╨Ü╨░╨║ ╨▓╤ï╤ü╤é╨░╨▓╨╗╤Å╤é╤î ╨▒╨╕╤Ç╨╢╨╡╨▓╤ï╨╡ ╨╖╨░╤Å╨▓╨║╨╕,**Что такое заявка «Лучшая цена» и как она работает?**,54,9
╨¥╤â╨╢╨╜╨╛ ╨╗╨╕ ╨╖╨░╨║╤Ç╤ï╨▓╨░╤é╤î ╨▒╤Ç╨╛╨║╨╡╤Ç╤ü╨║╨╕╨╕╠å ╤ü╤ç╨╡╤é,"**Нужно ли закрывать брокерский счет, если он сейчас не используется?**",71,10
╨¥╤â╨╢╨╜╨╛ ╨╗╨╕ ╨╖╨░╨║╤Ç╤ï╨▓╨░╤é╤î ╨▒╤Ç╨╛╨║╨╡╤Ç╤ü╨║╨╕╨╕╠å ╤ü╤ç╨╡╤é,**Как закрыть брокерский счет в приложении Т-Инвестиций?**,58,7
╨¥╤â╨╢╨╜╨╛ ╨╗╨╕ ╨╖╨░╨║╤Ç╤ï╨▓╨░╤é╤î ╨▒╤Ç╨╛╨║╨╡╤Ç╤ü╨║╨╕╨╕╠å ╤ü╤ç╨╡╤é,"**Можно ли отменить заявку на открытие еще одного брокерского счета, если она уже отправлена?**",95,14
╨¥╤â╨╢╨╜╨╛ ╨╗╨╕ ╨╖╨░╨║╤Ç╤ï╨▓╨░╤é╤î ╨▒╤Ç╨╛╨║╨╡╤Ç╤ü╨║╨╕╨╕╠å ╤ü╤ç╨╡╤é,**Какие условия нужно выполнить перед закрытием брокерского счета?**,68,8
╨¥╤â╨╢╨╜╨╛ ╨╗╨╕ ╨╖╨░╨║╤Ç╤ï╨▓╨░╤é╤î ╨▒╤Ç╨╛╨║╨╡╤Ç╤ü╨║╨╕╨╕╠å ╤ü╤ç╨╡╤é,**Как перевести деньги между брокерскими счетами в Т-Инвестициях?**,67,8
╨ò╨▓╤Ç╨╛╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╨╕,Что такое еврооблигации?,24,3
╨ò╨▓╤Ç╨╛╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╨╕,Какие риски связаны с еврооблигациями?,38,5
╨ò╨▓╤Ç╨╛╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╨╕,Как происходит налогообложение еврооблигаций?,45,4
╨ò╨▓╤Ç╨╛╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╨╕,Как оценить кредитный рейтинг еврооблигаций?,44,5
╨ó╨╕╨┐╤ï ╨║╤â╨┐╨╛╨╜╨╛╨▓ ╨┐╨╛ ╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╤Å╨╝,**Что такое фиксированный купон и как он работает?**,52,8
╨ó╨╕╨┐╤ï ╨║╤â╨┐╨╛╨╜╨╛╨▓ ╨┐╨╛ ╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╤Å╨╝,**Какие особенности облигаций с фиксированным купоном?**,56,6
╨ó╨╕╨┐╤ï ╨║╤â╨┐╨╛╨╜╨╛╨▓ ╨┐╨╛ ╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╤Å╨╝,**Что такое плавающий купон (флоатер)?**,40,5
╨ó╨╕╨┐╤ï ╨║╤â╨┐╨╛╨╜╨╛╨▓ ╨┐╨╛ ╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╤Å╨╝,**Как рассчитывается размер купона по облигациям с плавающим купоном?**,71,9
╨ó╨╕╨┐╤ï ╨║╤â╨┐╨╛╨╜╨╛╨▓ ╨┐╨╛ ╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╤Å╨╝,**Какие преимущества облигаций с плавающим купоном?**,53,6
╨ƒ╨╛╤Ç╤é╤ä╨╡╨╗╤î╨╜╨╛╨╡ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╡,Что такое портфельное инвестирование?,37,4
╨ƒ╨╛╤Ç╤é╤ä╨╡╨╗╤î╨╜╨╛╨╡ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╡,Какие преимущества портфельного инвестирования от Т-Инвестиций?,63,6
╨ƒ╨╛╤Ç╤é╤ä╨╡╨╗╤î╨╜╨╛╨╡ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╡,Какие риски существуют в портфельном инвестировании?,52,6
╨ƒ╨╛╤Ç╤é╤ä╨╡╨╗╤î╨╜╨╛╨╡ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╡,Надо ли открывать отдельный счет для портфельного инвестирования?,65,8
╨ƒ╨╛╤Ç╤é╤ä╨╡╨╗╤î╨╜╨╛╨╡ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╡,Как подключить и использовать портфельное инвестирование?,57,6
╨ö╨╛╤à╨╛╨┤╨╜╨╛╤ü╤é╤î ╨┐╨╛╤Ç╤é╤ä╨╡╨╗╤Å ╨╕ ╨░╨╜╨░╨╗╨╕╤é╨╕╨║╨░,"Как узнать доходность инвестиционного портфеля с учетом дивидендов, купонов, выводов и пополнений?",98,12
╨ö╨╛╤à╨╛╨┤╨╜╨╛╤ü╤é╤î ╨┐╨╛╤Ç╤é╤ä╨╡╨╗╤Å ╨╕ ╨░╨╜╨░╨╗╨╕╤é╨╕╨║╨░,Почему доходность на главном экране отличается от доходности в разделе «Аналитика портфеля»?,92,12
